system:index,POINT_ID,VH_20180101,VH_20180111,VH_20180121,VH_20180131,VH_20180210,VH_20180220,VH_20180302,VH_20180312,VH_20180322,VH_20180401,VH_20180411,VH_20180421,VH_20180501,VH_20180511,VH_20180521,VH_20180531,VH_20180610,VH_20180620,VH_20180630,VH_20180710,VH_20180720,VH_20180730,VH_20180809,VH_20180819,VH_20180829,VH_20180908,VH_20180918,VH_20180928,VH_20181008,VH_20181018,VH_20181028,VH_20181107,VH_20181117,VH_20181127,VH_20181207,VH_20181217,VV_20180101,VV_20180111,VV_20180121,VV_20180131,VV_20180210,VV_20180220,VV_20180302,VV_20180312,VV_20180322,VV_20180401,VV_20180411,VV_20180421,VV_20180501,VV_20180511,VV_20180521,VV_20180531,VV_20180610,VV_20180620,VV_20180630,VV_20180710,VV_20180720,VV_20180730,VV_20180809,VV_20180819,VV_20180829,VV_20180908,VV_20180918,VV_20180928,VV_20181008,VV_20181018,VV_20181028,VV_20181107,VV_20181117,VV_20181127,VV_20181207,VV_20181217,crop,.geo
83,86,-26.478362288352283,-28.293080628995526,-26.935733900291623,-25.640209056966963,-26.56648211475606,-27.010822625357353,-25.780963416699787,,-24.028784300863897,-26.66000032224521,-23.77485864657784,-18.164476764345572,-21.62025308407079,-22.42851965283799,-30.19838968635393,-20.283028780656796,-18.335944779674332,-26.99829799661792,-21.78433790941021,-18.085816838779134,-17.13518809400488,-19.580652215008097,-20.637122661484444,-15.27572646000768,-16.50298888498496,-22.612467596842084,-21.869329733494784,,-20.873098861314492,-19.121482700995788,-25.721852890038548,-27.0231124923284,-27.366313358527986,-25.664954454517797,-25.683477018355624,-26.542450031532475,-14.901725730973416,-16.260518223037263,-15.03417262536925,-14.421882498269458,-15.39138283784341,-15.564468104523439,-14.62062526366808,,-12.154506709951056,-12.313216885039513,-13.034376688386217,-9.523223171828183,-11.439203495348908,-11.688553345946925,-15.106228408080133,-9.348211216107805,-8.773763549250317,-13.945127005422933,-12.826378861523974,-12.051722102748382,-12.438163494228252,-13.8833808447669,-14.608946266404745,-11.141804265060028,-11.208073667569558,-15.653362539681435,-14.118564538291075,,-11.995887220485928,-12.215057176869802,-12.822619421392131,-14.52875409885311,-13.680483259606772,-13.64283015406166,-12.892377392261233,-13.261031237099212,пшеница,"{""type"":""Polygon"",""coordinates"":[[[72.257034,50.67402888659515],[72.25663738070912,50.6739930704357],[72.25627233401103,50.673888473080105],[72.25596791879045,50.673723420898376],[72.25574836677247,50.67351105259752],[72.25563115359182,50.67326827320777],[72.25562560795278,50.67301440828194],[72.25573216952142,50.67276966548362],[72.2559423544795,50.67255352605234],[72.25623943131,50.67238319418654],[72.2565997528736,50.672272227745495],[72.25699463866604,50.67222945921757],[72.25739265744534,50.672258292791625],[72.25776212863845,50.67235643344153],[72.25807364357765,50.67251606957087],[72.25830240604373,50.6727244946914],[72.2584302059296,50.6729651186886],[72.25844686895668,50.67321878823096],[72.25835106698663,50.67346531126945],[72.25815042429089,50.67368506431011],[72.25786091114716,50.67386055452536],[72.25750557288026,50.673977812334506],[72.25711269542974,50.67402750355707],[72.257034,50.67402888659515]]]}"
84,87,-28.25339978445141,-29.310260280693033,-26.933736816097575,-26.786548055907897,-27.08334673303774,-27.05887464208785,-26.282441642548672,,-24.606245343888247,-27.157980631456898,-25.933143110985515,-19.134826749910157,-23.71983443320946,-23.5158366138974,-29.107215462226858,-22.800979686950942,-20.85785726154988,-27.31368733981692,-20.789487382271943,-18.95405959359887,-18.059185595143482,-19.89413368357043,-21.02140449108128,-16.01282194000828,-17.727044835783246,-23.445352401909567,-23.5793935897415,,-20.884166187006677,-19.990795510294344,-24.339232105246694,-27.254893858699834,-27.635178679141028,-26.572621534819323,-25.773707073845063,-26.65894485238699,-15.867172621577316,-17.34699080029001,-15.998302085895853,-15.060598049281014,-16.137670352973927,-16.11494608785008,-15.055058031552983,,-13.25374154764832,-12.928480748597545,-13.57940384603227,-11.202205222021231,-13.344686733283554,-13.52926993940971,-15.890811610481132,-10.858204977932427,-10.968907111898265,-16.1457824387532,-13.216974626140324,-13.500582801463892,-13.42702393842041,-14.88057969367934,-14.67072337170759,-11.29953803190277,-11.273740705668128,-16.460417415341816,-14.365735952957236,,-12.880742750964354,-13.877237395283498,-12.882752269847686,-14.555235433979679,-13.959394449164995,-13.192798431694756,-12.783960339770776,-13.501400640545237,пшеница,"{""type"":""Polygon"",""coordinates"":[[[72.253437,50.67523088659515],[72.25304037055237,50.675195070435684],[72.25267531450612,50.675090473080004],[72.25237089149017,50.67492542089819],[72.25215133385014,50.67471305259723],[72.25203411766822,50.674470273207426],[72.25202857188751,50.67421640828158],[72.2521351361852,50.673971665483315],[72.25234532652574,50.673755526052126],[72.25264241096359,50.67358519418643],[72.25300274175395,50.673474227745466],[72.25339763765813,50.673431459217575],[72.25379566662937,50.6734602927916],[72.2541651472835,50.673558433441436],[72.25447667019975,50.67371806957069],[72.25470543852397,50.67392649469112],[72.25483324168276,50.67416711868826],[72.25484990513687,50.6744207882306],[72.25475410071385,50.67466731126914],[72.25455345288032,50.6748870643099],[72.25426393232286,50.67506255452524],[72.25390858495643,50.67517981233447],[72.25351569744501,50.67522950355708],[72.253437,50.67523088659515]]]}"
85,88,-27.505401473945152,-28.58559384604602,-27.317975727760114,-26.99508370464662,-27.210822706719153,-27.432903807316002,-26.256842073629794,,-25.014238369854645,-27.204547417534553,-24.57029179612498,-18.117309627066582,-22.35101772361584,-23.485056934812082,-28.449707930615595,-22.85589642440807,-20.208884126320907,-28.434238073232343,-21.199751744251316,-18.33137376636376,-17.403750283444985,-19.360841185789848,-20.8791264062115,-16.208797010674225,-16.901043699186623,-22.073440643859414,-22.981202602961623,,-21.38286670201011,-20.748703076214824,-25.820139523192868,-27.682837533491067,-26.99989512812549,-26.213532113438152,-25.77574223985333,-27.076642325731445,-15.820231534545952,-16.703394953144727,-15.792599757419094,-15.231181815852356,-16.180370466517562,-15.823437418787572,-15.127301790316848,,-13.535544248899347,-12.227814939499014,-12.640587656802321,-10.139038734971884,-12.725406705569934,-11.958546478145148,-15.250004690439463,-10.436088185674997,-10.584954526787076,-15.483547031319977,-13.14548538100777,-12.533044575995458,-12.834721402122394,-14.348368088265302,-14.846234495734057,-12.154669179741704,-12.092565573865304,-15.61179077102394,-14.922620295225107,,-12.881254566706414,-13.864600463597874,-12.707871946008348,-14.11390152161285,-13.51927699028159,-12.741472010687259,-12.946224650071931,-13.339834960742419,пшеница,"{""type"":""Polygon"",""coordinates"":[[[72.258056,50.68347588659515],[72.2576593008644,50.68344007043548],[72.25729418067817,50.683335473079275],[72.25698970417628,50.68317042089675],[72.25677010796196,50.68295805259514],[72.25665287118761,50.68271527320494],[72.25664732443477,50.682461408279075],[72.25675390745718,50.68221666548118],[72.25696413472811,50.68200052605062],[72.25726127136198,50.681830194185636],[72.25762166545927,50.68171922774521],[72.25801663074257,50.68167645921756],[72.25841472964333,50.681705292791435],[72.25878427521178,50.68180343344077],[72.25909585286058,50.68196306956932],[72.25932466137903,50.682171494689086],[72.25945248699396,50.6824121186858],[72.25946915337798,50.68266578822808],[72.25937333212458,50.68291231126695],[72.25917264903934,50.68313206430834],[72.25888307761447,50.68330755452438],[72.25852766781404,50.68342481233419],[72.25813471127219,50.683474503557065],[72.258056,50.68347588659515]]]}"
86,89,-27.623158937948205,-29.42401558655551,-27.90646997588351,-26.973637593501707,-27.455375846410845,-27.325575343305143,-26.711207926208594,,-24.816298535886503,-25.282843967163267,-25.05119953700029,-18.892548518589454,-23.459925174758837,-20.563454491405473,-30.041875050786853,-23.867226657078845,-22.109983347591033,-27.461022709755024,-23.92061090502877,-18.851105165615635,-21.95516468147186,-23.88734814415146,-23.229616824091636,-21.808637280991015,-24.16543183438548,-29.264497002912965,-27.274824230714646,,-25.03313873673301,-24.95960688438649,-29.17351923361245,-30.066104760694994,-29.671497822310634,-29.722724388945128,-29.403082443628897,-30.149366186071756,-17.08635618724916,-17.860653556728604,-16.78313057339909,-16.077098971975136,-17.373359956804705,-17.254659142057854,-15.709003350606574,,-14.512234815340598,-13.295261137797366,-14.637758684772313,-11.978166510208826,-14.30600453138397,-13.577531195165276,-16.123955252429717,-12.187557393373014,-13.45561500983281,-14.82276480975977,-14.38578995772996,-11.54766324007273,-11.395480602882532,-13.02142153674325,-13.473782894748323,-11.93176380688637,-13.624474279697239,-17.399381792585686,-15.901200523916707,,-13.968499720915485,-15.267055568782519,-14.316605472520516,-17.051234039142642,-15.877150734481477,-14.178444538621353,-15.674674300082808,-16.230790072382042,пар,"{""type"":""Polygon"",""coordinates"":[[[72.268837,50.68963288659515],[72.26844024880323,50.689597070435326],[72.26807508070046,50.68949247307873],[72.26777056424127,50.68932742089568],[72.26755093920957,50.68911505259359],[72.2674336870514,50.68887227320309],[72.26742813957232,50.68861840827722],[72.26753473658324,50.68837366547958],[72.26774499144346,50.6881575260495],[72.26804216707099,50.68798719418505],[72.26840260846245,50.687876227745036],[72.26879762557625,50.687833459217565],[72.26919577671868,50.687862292791316],[72.26956537078213,50.68796043344027],[72.26987698931951,50.6881200695683],[72.27010582786552,50.68832849468758],[72.2702336702566,50.688569118683965],[72.27025033882943,50.68882278822622],[72.27015450500271,50.68906931126533],[72.26995379558225,50.68928906430716],[72.26966418615632,50.68946455452374],[72.26930872971379,50.68958181233398],[72.26891572160194,50.68963150355705],[72.268837,50.68963288659515]]]}"
87,90,-27.217174824252744,-28.14277532986931,-27.210228616427848,-26.77931053333963,-27.507713115866704,-27.1136276923117,-25.7606346356493,,-24.160808966829844,-26.31191553982716,-24.279387097512853,-18.558893050986587,-23.194460692129223,-22.97953465749456,-27.525301022608186,-21.039729841999446,-19.70802845960646,-28.20079296508756,-20.99859524844994,-17.36341797222761,-17.573796652504367,-19.350992281723176,-20.23941651727367,-16.20171275060432,-16.788929422885914,-23.39615642316672,-23.31623241554091,,-19.822028876922086,-20.228665761086916,-24.968211006507094,-27.422031711589558,-26.99388057977825,-26.73104391946399,-26.095582220809984,-27.02268334448509,-16.38870491464688,-17.283387149376196,-16.411234426238273,-15.683368758664395,-16.29039575104596,-16.70760511697064,-15.515591464445215,,-13.236830706276168,-13.104542719707759,-13.447824038429173,-11.132319840203163,-13.523117113032274,-13.452123671905076,-15.038825406523374,-9.19830412656838,-9.856532854226895,-14.988923482178922,-12.915542082475648,-12.253318805093855,-12.647186970033358,-13.930389436473757,-14.586599974453904,-11.666346919298256,-11.733644560217854,-15.894350040331553,-15.25680612929871,,-13.182506883474698,-13.41629079232,-12.599440805163193,-14.48564240022786,-13.901406283949658,-13.433608573845076,-13.264520728615624,-13.941923650223107,пшеница,"{""type"":""Polygon"",""coordinates"":[[[72.273669,50.69381188659515],[72.27327221345683,50.693776070435234],[72.27290701282165,50.69367147307837],[72.27260246923387,50.693506420894956],[72.27238282463692,50.693294052592556],[72.27226556203406,50.693051273201846],[72.27226001406191,50.692797408275965],[72.27236662057021,50.69255266547851],[72.27257689416187,50.69233652604875],[72.2728740962637,50.692166194184644],[72.27323456976507,50.69205522774492],[72.27362962206861,50.692012459217565],[72.27402780867996,50.69204129279124],[72.27439743566858,50.69213943343993],[72.27470908196683,50.692299069567625],[72.27493794089973,50.69250749468656],[72.27506579468078,50.69274811868273],[72.2750824647397,50.69300178822495],[72.27498662237645,50.69324831126423],[72.274785895076,50.69346806430637],[72.27449625984961,50.69364355452331],[72.27414077173995,50.69376081233384],[72.27374772861523,50.693810503557046],[72.273669,50.69381188659515]]]}"
